The shoe contains:
Spades 4: 4
Spades 8: 8
Diamonds Ace: 11
Hearts 6: 6
Spades 2: 2
Spades Ace: 11
Diamonds Queen: 10
Diamonds 4: 4
Spades 7: 7
Spades 3: 3
Spades Ace: 11
Diamonds 8: 8
Hearts 10: 10
Hearts 5: 5
Diamonds 9: 9
Diamonds 3: 3
Spades 10: 10
Hearts 9: 9
Hearts 7: 7
Spades King: 10
Clubs 3: 3
Hearts 2: 2
Diamonds 3: 3
Hearts 3: 3
Hearts 3: 3
Hearts Jack: 10
Clubs 7: 7
Hearts 10: 10
Hearts Queen: 10
Diamonds 4: 4
Diamonds Queen: 10
Clubs 9: 9
Hearts King: 10
Hearts 2: 2
Clubs Jack: 10
Spades 5: 5
Diamonds Jack: 10
Clubs 4: 4
Diamonds 2: 2
Spades 7: 7
Spades 4: 4
Clubs 8: 8
Clubs 9: 9
Clubs 10: 10
Spades 4: 4
Spades 6: 6
Diamonds 2: 2
Spades 4: 4
Hearts 8: 8
Clubs 6: 6
Diamonds 7: 7
Clubs 9: 9
Diamonds 2: 2
Diamonds Jack: 10
Diamonds 4: 4
Spades 5: 5
Clubs 7: 7
Hearts 4: 4
Clubs 8: 8
Hearts 4: 4
Spades 9: 9
Clubs 10: 10
Diamonds Jack: 10
Clubs 6: 6
Hearts 10: 10
Hearts 2: 2
Diamonds 6: 6
Clubs 7: 7
Clubs 7: 7
Diamonds Queen: 10
Hearts 4: 4
Hearts 9: 9
Hearts King: 10
Diamonds 10: 10
Clubs 9: 9
Diamonds 10: 10
Clubs 2: 2
Diamonds King: 10
Spades 7: 7
Hearts Ace: 11
Clubs King: 10
Diamonds 10: 10
Hearts 6: 6
Clubs 10: 10
Diamonds 4: 4
Clubs Jack: 10
Spades 5: 5
Hearts 6: 6
Spades 6: 6
Spades 10: 10
Spades 8: 8
Diamonds 2: 2
Diamonds 6: 6
Clubs Queen: 10
Spades 6: 6
Clubs 2: 2
Spades 4: 4
Hearts Jack: 10
Spades 9: 9
Hearts 2: 2
Clubs King: 10
Diamonds Ace: 11
Hearts Jack: 10
Diamonds 7: 7
Clubs Queen: 10
Diamonds Jack: 10
Hearts 10: 10
Diamonds Queen: 10
Spades 2: 2
Clubs 6: 6
Spades 5: 5
Hearts 3: 3
Clubs 5: 5
Diamonds 6: 6
Clubs Ace: 11
Hearts King: 10
Hearts 4: 4
Clubs 2: 2
Diamonds 10: 10
Hearts Queen: 10
Diamonds Ace: 11
Diamonds 4: 4
Hearts 7: 7
Spades Ace: 11
Diamonds 8: 8
Clubs Queen: 10
Diamonds 5: 5
Hearts 7: 7
Hearts 7: 7
Clubs 2: 2
Diamonds King: 10
Diamonds 2: 2
Spades Queen: 10
Diamonds 5: 5
Spades 7: 7
Clubs 10: 10
Clubs 7: 7
Clubs 3: 3
Clubs 2: 2
Spades King: 10
Hearts 5: 5
Spades Jack: 10
Clubs 5: 5
Spades Jack: 10
Clubs 4: 4
Hearts 5: 5
Diamonds King: 10
Clubs 7: 7
Spades 6: 6
Spades Queen: 10
Clubs 4: 4
Hearts 9: 9
Diamonds 9: 9
Diamonds Jack: 10
Hearts 8: 8
Hearts King: 10
Spades Jack: 10
Clubs 5: 5
Spades 7: 7
Diamonds 8: 8
Clubs 5: 5
Diamonds 10: 10
Spades 3: 3
Clubs 8: 8
Spades King: 10
Hearts 5: 5
Clubs 10: 10
Spades Jack: 10
Diamonds 3: 3
Spades Jack: 10
Spades Ace: 11
Diamonds 5: 5
Clubs 3: 3
Diamonds 7: 7
Spades 5: 5
Hearts 9: 9
Diamonds 3: 3
Hearts 4: 4
Hearts 7: 7
Hearts Ace: 11
Clubs 8: 8
Diamonds 8: 8
Clubs 4: 4
Diamonds 9: 9
Clubs 4: 4
Hearts Queen: 10
Hearts Ace: 11
Hearts 3: 3
Hearts Jack: 10
Diamonds 2: 2
Spades 2: 2
Clubs Ace: 11
Diamonds Queen: 10
Hearts Ace: 11
Hearts Queen: 10
Diamonds King: 10
Clubs 8: 8
Clubs Ace: 11
Spades 10: 10
Diamonds 3: 3
Spades 3: 3
Clubs 6: 6
Diamonds Queen: 10
Diamonds 4: 4
Spades 6: 6
Spades Ace: 11
Hearts 7: 7
Clubs Ace: 11
Clubs 2: 2
Hearts 10: 10
Spades 2: 2
Hearts 9: 9
Diamonds King: 10
Spades King: 10
Diamonds 3: 3
Spades 9: 9
Hearts 3: 3
Spades 9: 9
Spades 10: 10
Diamonds 6: 6
Diamonds 5: 5
Hearts 8: 8
Spades Queen: 10
Hearts 3: 3
Hearts 8: 8
Hearts Ace: 11
Clubs King: 10
Clubs 6: 6
Clubs Ace: 11
Spades 8: 8
Diamonds Ace: 11
Clubs 3: 3
Spades 7: 7
Hearts 6: 6
Diamonds 8: 8
Clubs Jack: 10
Clubs 9: 9
Clubs Queen: 10
Spades 8: 8
Hearts 8: 8
Hearts Jack: 10
Hearts Queen: 10
Spades 3: 3
Hearts King: 10
Spades 9: 9
Spades 9: 9
Clubs 5: 5
Spades Ace: 11
Hearts 4: 4
Clubs 5: 5
Clubs 4: 4
Clubs Queen: 10
Hearts 5: 5
Diamonds 6: 6
Hearts 2: 2
Spades Jack: 10
Clubs 3: 3
Hearts 10: 10
Spades Queen: 10
Spades 6: 6
Clubs Queen: 10
Hearts Ace: 11
Diamonds 8: 8
Clubs 8: 8
Spades Queen: 10
Hearts Queen: 10
Clubs 3: 3
Clubs King: 10
Spades 8: 8
Diamonds Ace: 11
Diamonds 7: 7
Clubs Ace: 11
Hearts King: 10
Diamonds 9: 9
Spades Queen: 10
Clubs King: 10
Spades 3: 3
Hearts Jack: 10
Clubs 6: 6
Diamonds 7: 7
Diamonds 9: 9
Clubs Jack: 10
Spades 2: 2
Clubs 9: 9
Clubs 10: 10
Diamonds 5: 5
Diamonds 7: 7
Spades King: 10
Diamonds Jack: 10
Spades 5: 5
Hearts 6: 6
Spades King: 10
Spades 3: 3
Spades 4: 4
Clubs Jack: 10
Hearts 9: 9
Spades 8: 8
Diamonds 5: 5
Clubs King: 10
Diamonds Ace: 11
Diamonds King: 10
Clubs Jack: 10
Diamonds 9: 9
Hearts 8: 8
Hearts 2: 2
Hearts 6: 6
Spades 10: 10
Diamonds 10: 10
Spades 10: 10
Spades 2: 2
Hearts 5: 5
Diamonds 6: 6
